"Column1","Column3"
".1	@USER ردينا ع التطنز 😏👊🏻	","OFF"
".2	وصارت فطاير البقالات غذاء صحي 👎🏻 URL	","NOT_HS"
".3	@USER روحي لبريده تلقين اشباه كثير بس ماحد زيكم مشفوح يخقخق ويطالعهم بكل انحطاط ويصورهم الله يفشلكم بس😷	","OFF"
".4	@USER مش باين حاجه خالص 😣<LF>مش عارف بقى 😔	","NOT_HS"
".5	#اليوم_الاثنين<LF><LF>👏 يقولك :%90  من المسلمين <LF>عندهم خاله اسمها امل<LF>👏أو عمه امل <LF>👏او اخت امل<LF>👏او زوجه امل<LF>👏او بنت امل<LF>✊او حماة امل<LF>👊واللي ماعنده ولا امل<LF>بالعائلة يراجع نفسه لانه وضعه مو طبيعي/😳<LF>وأي قروب فيه ..امل.. هو من أسعد القروبات<LF>اذا عندكم وحده اسمها امل ارسلوها لها😽😻	","NOT_HS"
".6	حمدلله ماحطها في فمي اساسا😷🤢 URL	","NOT_HS"
".7	@USER هههه 😂🌚🤢	","NOT_HS"
".8	#بايع_الكليجا اللي مايضحك من هالمقطع يبلكني هههههههه مطططههببللللل 😂😂😂👌👌👊👊😍😍😩😩😂😂 يمثلني ههههههه 😂😂👊 URL	","NOT_HS"
".9	خلاص الله يزعجكم خلللاص 😷😷 #بايع_الكليجا	","OFF"
".10	@USER هيلق و جحلط غير كذا مافي 😷	","OFF"
".11	@USER تعبت ارد على كونت تراا متخلفين ورجعيين حتى كل اكتبها كوول كيفي ياناس حلوا عن سماي اااف 👊🏼	","OFF"
".12	@USER وهو صادق من يسب الصحابه ويدعي تحريف القران ويتهم عائشه بالزنا وش نسميه مسلم مطور مثلا؟؟<LF>الا بيض الله وجهه كلامه صحيح وماقال الا الحق ياالبقره👊🏻	","Religion"
".13	@USER بقوه 👊	","NOT_HS"
".14	RT @USER تذكروا جيدا #قائمة_الجزم 👞 أكرم الله القارئين.<LF>وتذكروا جيدا أنهم دائما وأبدا جاهزون، لتلبية وعد إبليس.<LF>..ابليس يقول: محا…	","OFF"
".15	RT @USER في ذبانه لو اصيدها والله راح اربطها واركض يمها واصرخ😡	","NOT_HS"
".16	@USER وين الحش ؟<LF>اذا فهمته هو واشكاله ان زمن جلسه البيت انتهى وولى صار حش ؟<LF>وبعدين وش نظام سواليف البزران هذي؟<LF>اكبر ياخي 😷	","NOT_HS"
".17	@USER انا كم مره اقولكم مو عيب اللي تسوونه؟ الكذب على الناس حرااااااااام 🙄👊🏻	","NOT_HS"
".18	@USER LOL <LF>شمشوم تحت المجهر. <LF>بن عمي شوف انا لو خاصمك تصعب علي<LF>لو بدك محامي انت بس تطلب 🙉	","NOT_HS"
".19	وووووووووووووووو رومان رينز 😂❤️👊🏻 #EleminationChamber URL	","NOT_HS"
".20	@USER ان شاء الله يرفع عليك وعليهم قضيه وتنجلدين من اهلك 🌚🔪	","NOT_HS"
".21	@USER يلاا مشينا 💜💜💜💜🌏🐸	","NOT_HS"
".22	ترند بتويتر لعنبو ابليسكم خلو المسلم بحالة شهرتو به �   #بايع_الكليجا	","OFF"
".23	➺🌸┊↷<LF><LF>� �┊<LF><LF>لن تحــصــل علــى غــدٍ افــضل مادمــت تفــكر بالامــس🥀. 🚶👌<LF>       <LF>   ​•   _______________� �<LF>� �� �� �� �� �� �👍 👎<LF><LF>  💗� �▸ URL	","NOT_HS"
".24	@USER بهذذذذدي .. صدقت  قسم محد يفرح لك الااا اللي يحبك<LF>او من رحم ربي 👍🙊🙈🙉 URL	","NOT_HS"
".25	@USER دكتور فارس بتفرقكن راح تخلو التيار وحدو يجيب الحاصل 😡	","NOT_HS"
".26	تعوسي عطاني فولو دخلت صفحته و اشوفه كاتب انو ساقطات اللي خقو على بايع الكليجا وطايح قذف فيهم و حسابه الحقير كله اباحيات 🤢 استشرافه صنفه قوي عطيته بلوك	","Race"
".27	@USER ١٦�  الف كيلو هذه اجيبها في ٣ سنين <LF>بتضحكو على مين !!!!! قال الضمان ٨ سنين قال 👎🏻	","NOT_HS"
".28	اختفى مروان تلودي طلعوا جولي شيك و القرشي 😷	","NOT_HS"
".29	اليوم الجوى اكثر من رائع ....🌹❤️🌺👊🏼☕️ URL	","NOT_HS"
".30	RT @USER #افضح_معنفك 🔞!!!<LF><LF>لا يوجد اشد من هالفضيحه <LF>( بشار ) 🔪<LF>اللهم ارحم شهداء الوطن الأبرار🕋 <LF>دعواتكم <LF> لعل الله القوي الجبار الم…	","OFF"
".31	RT @USER تخيل نحتفل بالتعادل<LF>مع فريق<LF><LF>جزمة ابو نوران <LF>أكبر من تاريخهم <LF>😂🐸😂🐸😂 URL	","Ideaology"
".32	حاط صورة حسن نصر الله<LF>ويقول .. اهل الكويت الاصليين .. !<LF><LF>الطم ؟ 😂👊🏽<LF>ٰ URL	","NOT_HS"
".33	RT @USER #رسالة_السيسي_بالزي_العسكري<LF>الرئيس السيسى<LF>لرئيس الأركان<LF>يامحمد عايزك تشيل<LF>الإرهابيين من على<LF>وش الأرض👊<LF> 👈 #بكل_عنف_وقوة💪<LF>اح…	","NOT_HS"
".34	مبروووك @USER عاد ٣ كان خليتوها ٤ <LF>@USER  ترا حتى وضاح خسران اندية لندن 👎🏻	","NOT_HS"
".35	@USER انا ما اسافر بعيد التحرير 😣	","NOT_HS"
".36	اكره شي في الحياة تطلع من بيتكم متسبح ومتعطر ومتزقرت وتدخل بوفية وفوق هذا العامل قاعد يقلي فلافل خلاص الحين وش يخلص اليوم ابي بس ارمي الثوب احسني صرة فلافلة 😷💔😅	","NOT_HS"
".37	@USER نه😡	","NOT_HS"
".38	@USER كسرتيني ي غيدا 😭😭 تحبين من وراي؟؟ ليه تخونيني😔😔😔🔪💔🤦🏽‍♀️😭	","NOT_HS"
".39	@USER جاتني كتمه ، ٣ مواد ليه ؟! 😷💔💔💔💔	","NOT_HS"
".40	@USER الشمال 😣	","NOT_HS"
